"","company_location","avg","count"
"1","united states of america",156611.83,41509
"2","canada",140238.66,1269
"3","egypt",136676.19,21
"4","new zealand",129248.5,16
"5","japan",121757.3,20
"6","australia",112819.23,111
"7","ukraine",112166.67,24
"8","switzerland",108136.9,20
"9","ireland",107099.64,39
"10","sweden",98038.4,10
"11","germany",94876.54,265
"12","united arab emirates",93636.36,11
"13","united kingdom",92969.92,1829
"14","mexico",91728.54,41
"15","france",86374.12,177
"16","colombia",79115.25,48
"17","russia",78207.86,14
"18","argentina",77858,31
"19","belgium",76864.75,12
"20","finland",75952.79,14
"21","netherlands",75725.79,90
"22","lithuania",73311.75,36
"23","poland",68762.77,35
"24","austria",68608.54,24
"25","singapore",66016.71,14
"26","south africa",64646.53,30
"27","nigeria",63840,25
"28","brazil",59417.11,66
"29","italy",59330.23,44
"30","latvia",57731.11,28
"31","spain",56637.03,358
"32","slovenia",56186.33,18
"33","denmark",53667.88,16
"34","greece",52595.86,43
"35","portugal",51558.31,80
"36","romania",46307.08,12
"37","estonia",46286.97,32
"38","india",40965.17,131
"39","philippines",36458.46,13
"40","turkey",34839.92,25
